study_hours,sleep_hours,social_media_usage,screen_time,diet_quality,mental_health,physical_activity,attendance,stress_level,internet_usage,extra_curricular,time_management,performance_label
4.370861069626263,5.110797573031718,2.0936454698872478,8.399732936297879,2,3,1.3758505624403399,67.812494730189,6,7.716289106316594,0,8.215726751611847,Low
9.556428757689245,7.251405684270149,1.9758303925759986,9.763495369105096,5,1,1.989801731903786,58.8607528439396,9,2.5804012573766566,0,7.734491382289378,High
7.587945476302646,9.23767501525845,7.2500366441682935,3.7551468867174886,5,5,4.657394962983403,84.75599079728838,7,1.5808229546020862,1,8.146545632944795,High
6.387926357773329,8.393349318457368,1.9963695987960488,7.873615095676988,3,5,1.6911548365864242,80.81203246653061,5,6.198952930476973,1,9.720305863468683,High
2.4041677639819286,8.839366887168698,2.175597809029048,7.289205814581235,4,6,4.569381451608981,74.14392670579218,2,4.220319517323486,0,6.1594901987788315,Medium
2.403950683025824,7.952700200264304,6.07518609934371,10.161134144670982,5,8,4.905224311272328,69.51628896307773,1,3.4791211912435323,0,2.982194896625745,Medium
1.5227525095137953,8.153659387107115,3.59791873960432,10.966957665293865,4,10,3.3090536428721236,95.45312714483657,2,8.264898967828756,1,8.75988676677915,High
8.795585311974417,9.095173909391916,6.21368445564145,1.1337244862512548,1,1,4.084451447520841,51.456189249455264,1,4.302939403737526,0,7.684576565086811,Medium
6.41003510568888,5.498008053155115,0.5229292605150819,8.41421910964672,4,4,3.747727821105426,88.45538717536496,3,3.853008727608735,1,4.728774811007558,High
7.372653200164409,6.936549781858843,3.9005695493870745,1.5701937903170191,2,10,3.497671288077619,95.09547858744443,6,8.649888338521095,0,5.262125487171817,High
1.185260448662222,5.327256650917613,0.26890880146626106,7.037445315850915,2,1,1.534655364906163,72.3177289714963,8,8.61658602837814,1,4.701271586309822,Low
9.72918866945795,9.926008047979881,0.5012256276428362,4.16396001948046,5,9,0.2854716895397186,77.53452457353234,3,4.207299739795509,1,9.369479442061037,High
8.491983767203795,9.66435603811968,7.251499626755288,4.374542594743553,4,7,1.715258662598253,97.2231843941019,10,8.492488308873696,0,4.091784503484647,High
2.9110519961044856,4.236560868211035,1.1139629689407613,4.8825435379759226,5,7,3.334679926019533,60.61387576427572,9,8.657006412993944,1,9.671358507905552,Medium
2.636424704863906,8.23345103509413,4.259365458201737,7.834216939545711,3,5,0.5126459911390069,76.00674238923425,10,4.815374815266996,0,9.192445941285548,Low
2.650640588680904,9.551489904493994,3.2887648208056524,4.674549622356461,2,7,0.05958991489121046,73.73605635641064,5,1.5982581718825442,1,6.67469028023356,Medium
3.7381801866358395,5.083452070764001,2.7787466100707414,9.059689556493085,5,2,0.6984618630146933,62.919632393518505,7,1.014261800197061,0,6.218395957900672,Low
5.72280788469014,7.407671383315777,7.19866676549818,5.449801241312566,3,4,3.5786796320539764,90.9296615186554,8,5.709632166000955,0,4.330803520629738,Medium
4.887505167779041,9.49292978552825,0.174587174203916,1.751885203409545,5,7,4.86396850828222,94.98002973816179,3,4.096679440333201,0,1.165045501095849,High
3.6210622617823773,4.203675871514793,5.310317489404713,9.62135826732518,4,3,4.915323498074102,89.09662898941045,2,9.974187047425294,1,2.148608676139779,Low
6.506676052501415,8.18452160348104,7.707155473708403,4.143341570519766,4,2,2.4698957457009394,59.76794804243042,2,7.951698996645558,0,7.788081910145938,Medium
2.2554447458683766,5.784094044235305,4.4813454676947355,5.760435675591889,4,10,4.346761504961737,54.33743177506908,5,7.851479107153713,0,5.243861139293487,Low
3.629301836816963,9.546377172259183,7.494579696264735,8.539882715440918,4,2,3.68413227875752,80.27222426526711,1,9.597184914586093,0,2.348543207691713,Low
4.297256589643226,9.826349470992206,0.41806303428819014,4.657017728635832,1,1,2.505201184923017,52.8547380254942,2,8.989519581039886,1,3.375647687186839,Low
5.104629857953324,9.665598934680602,3.350346552593291,1.6224422176138718,3,5,2.863802664775434,83.64129442790421,9,3.8636873151074984,0,9.530532098622997,High
8.066583652537123,6.845285299944782,2.0812623276964093,5.11313151714095,3,6,0.6861357330843554,76.52121101636213,7,2.4938849944348873,1,4.304195517792386,High
2.7970640394252375,9.17225590593588,5.846567719845838,11.388934409637338,4,6,4.6883073030829605,83.13928663718318,6,7.71303038558934,1,9.169137506972382,High
5.628109945722504,9.067296391210423,7.850376723977973,8.05907837028414,1,9,1.759648853658884,79.5085386824872,9,4.404465043145857,1,3.74172249064219,Medium
6.331731119758382,5.914602839459533,2.0522404995539825,8.386270635339276,4,4,2.2307462822858475,71.13512847635863,7,5.258553864678608,0,5.888980849304448,Medium
1.4180537144799796,8.973492844904065,5.233396811792596,7.955103690014038,1,1,3.3583011549894937,60.04385900701141,5,6.673579581473442,0,1.184293750259781,Low
6.467903667112945,4.222045808292956,1.584781062077921,3.1889135285538046,4,6,1.6695123576327697,65.28510679052442,9,9.170854092417166,1,5.696875993362192,Medium
2.5347171131856236,7.577619270892319,4.522642036572879,5.601672505125081,2,5,1.2712958049446526,76.22502871094882,6,4.7717897830386935,0,6.732478095495672,Low
1.5854643368675156,5.3800530237262185,3.7114598935066896,9.260337781996501,2,10,3.155246966351103,82.5934046823803,6,8.049852011974252,0,3.1087458940346013,Low
9.539969835279999,4.723401314663673,7.776042637052297,2.1151018730847504,5,6,0.12492041140924726,88.97415084422641,4,3.415058121471917,1,6.210434585848213,High
9.690688297671034,4.461719209775255,4.8682181815717325,4.056380536986834,4,3,3.6036255601333944,88.35853592245304,1,7.2817461183125225,1,6.82450994845887,High
8.275576133048151,8.177732655268839,2.7960509766945503,4.039510193124389,3,2,2.570116849382549,98.63443716305426,5,1.0142147897012068,0,7.181974705435809,High
